date,retail_volume,unemployment_rate,consumer_confidence,industrial_production,hicp
2008-01,123.4000000000,9.1000000000,-7.8000000000,130.9000000000,71.4300000000
2008-02,122.7000000000,9.3000000000,-20.1000000000,133.1000000000,71.5300000000
2008-03,121.0000000000,9.5000000000,-21.6000000000,125.9000000000,72.1800000000
2008-04,122.1000000000,10.0000000000,-21.7000000000,130.0000000000,72.9600000000
2008-05,120.2000000000,10.4000000000,-15.2000000000,124.6000000000,73.4600000000
2008-06,117.8000000000,10.8000000000,-16.6000000000,120.6000000000,73.8900000000
2008-07,118.8000000000,11.1000000000,-28.4000000000,123.7000000000,73.5500000000
2008-08,117.8000000000,11.5000000000,-17.1000000000,118.9000000000,73.4100000000
2008-09,117.4000000000,12.0000000000,-25.9000000000,119.0000000000,73.3700000000
2008-10,117.0000000000,12.9000000000,-41.5000000000,114.9000000000,73.6200000000
2008-11,116.6000000000,13.8000000000,-28.4000000000,111.3000000000,73.3000000000
2008-12,114.2000000000,14.8000000000,-33.5000000000,103.8000000000,72.9300000000
2009-01,115.2000000000,15.9000000000,-39.1000000000,101.9000000000,72.0000000000
2009-02,112.7000000000,16.8000000000,-37.4000000000,101.9000000000,72.0200000000
2009-03,111.6000000000,17.5000000000,-38.6000000000,99.0000000000,72.1300000000
2009-04,113.1000000000,17.8000000000,-40.1000000000,101.0000000000,72.8500000000
2009-05,112.5000000000,17.9000000000,-30.1000000000,99.8000000000,72.8200000000
2009-06,112.4000000000,17.9000000000,-31.6000000000,100.9000000000,73.1800000000
2009-07,112.8000000000,18.0000000000,-29.8000000000,102.6000000000,72.5800000000
2009-08,112.3000000000,18.2000000000,-23.6000000000,104.2000000000,72.8700000000
2009-09,112.7000000000,18.4000000000,-21.5000000000,103.3000000000,72.6900000000
2009-10,111.8000000000,18.6000000000,-35.4000000000,103.1000000000,73.2000000000
2009-11,111.6000000000,18.7000000000,-18.1000000000,104.3000000000,73.6000000000
2009-12,113.3000000000,18.9000000000,-24.6000000000,102.4000000000,73.5900000000
2010-01,112.0000000000,19.1000000000,-31.5000000000,100.1000000000,72.5100000000
2010-02,112.2000000000,19.2000000000,-40.3000000000,100.4000000000,72.3400000000
2010-03,114.1000000000,19.4000000000,-15.1000000000,105.0000000000,74.0700000000
2010-04,110.2000000000,19.8000000000,-18.1000000000,102.1000000000,74.5800000000
2010-05,111.7000000000,20.0000000000,-24.0000000000,104.7000000000,74.6100000000
2010-06,113.2000000000,20.1000000000,-31.4000000000,103.8000000000,74.6900000000
2010-07,108.9000000000,19.9000000000,-30.4000000000,103.2000000000,73.8600000000
2010-08,109.0000000000,20.0000000000,-29.8000000000,104.1000000000,74.0200000000
2010-09,108.5000000000,20.1000000000,-21.2000000000,102.0000000000,74.7000000000
2010-10,108.8000000000,20.1000000000,-40.7000000000,102.8000000000,75.0400000000
2010-11,107.7000000000,20.2000000000,-44.7000000000,105.4000000000,75.2700000000
2010-12,106.8000000000,20.4000000000,-51.7000000000,102.9000000000,75.6900000000
2011-01,105.7000000000,20.4000000000,-56.6000000000,104.0000000000,74.7000000000
2011-02,105.9000000000,20.5000000000,-61.4000000000,103.2000000000,74.7800000000
2011-03,104.3000000000,20.6000000000,-62.1000000000,102.8000000000,76.5400000000
2011-04,106.0000000000,20.6000000000,-51.5000000000,102.4000000000,77.2100000000
2011-05,104.1000000000,20.7000000000,-54.8000000000,102.5000000000,77.1200000000
2011-06,103.7000000000,21.0000000000,-52.1000000000,100.5000000000,76.9700000000
2011-07,103.8000000000,21.4000000000,-55.2000000000,101.1000000000,76.0700000000
2011-08,102.0000000000,21.7000000000,-46.8000000000,100.5000000000,76.0400000000
2011-09,102.5000000000,22.1000000000,-57.1000000000,101.0000000000,76.9600000000
2011-10,101.9000000000,22.4000000000,-51.6000000000,98.3000000000,77.2800000000
2011-11,100.2000000000,22.6000000000,-49.0000000000,97.7000000000,77.4500000000
2011-12,100.1000000000,22.9000000000,-59.1000000000,99.3000000000,77.4700000000
2012-01,101.7000000000,23.2000000000,-62.8000000000,99.0000000000,76.1800000000
2012-02,99.4000000000,23.6000000000,-50.8000000000,98.4000000000,76.2100000000
2012-03,99.8000000000,23.9000000000,-47.3000000000,94.3000000000,77.8900000000
2012-04,96.3000000000,24.2000000000,-48.6000000000,94.7000000000,78.7300000000
2012-05,97.7000000000,24.6000000000,-54.1000000000,94.4000000000,78.5700000000
2012-06,97.5000000000,24.8000000000,-46.0000000000,95.1000000000,78.3800000000
2012-07,96.5000000000,25.0000000000,-43.2000000000,94.4000000000,77.7100000000
2012-08,98.2000000000,25.2000000000,-61.1000000000,95.8000000000,78.1100000000
2012-09,88.6000000000,25.5000000000,-52.3000000000,92.4000000000,79.6100000000
2012-10,89.6000000000,25.7000000000,-61.4000000000,92.6000000000,79.9800000000
2012-11,89.3000000000,25.9000000000,-67.2000000000,90.7000000000,79.7900000000
2012-12,89.7000000000,26.0000000000,-64.0000000000,91.6000000000,79.7900000000
2013-01,89.9000000000,26.2000000000,-45.5000000000,92.4000000000,78.3400000000
2013-02,90.4000000000,26.4000000000,-55.8000000000,90.9000000000,78.4200000000
2013-03,89.5000000000,26.3000000000,-48.6000000000,92.8000000000,79.8700000000
2013-04,90.0000000000,26.3000000000,-54.0000000000,91.4000000000,79.9300000000
2013-05,90.6000000000,26.2000000000,-66.4000000000,91.3000000000,80.0100000000
2013-06,90.8000000000,26.1000000000,-48.6000000000,93.0000000000,80.1000000000
2013-07,91.1000000000,26.2000000000,-59.3000000000,92.1000000000,79.1900000000
2013-08,91.3000000000,26.1000000000,-68.9000000000,93.1000000000,79.3900000000
2013-09,90.5000000000,26.1000000000,-44.9000000000,93.3000000000,80.0000000000
2013-10,89.9000000000,26.0000000000,-69.9000000000,93.5000000000,80.0200000000
2013-11,90.3000000000,25.9000000000,-61.4000000000,92.5000000000,80.0300000000
2013-12,90.0000000000,25.5000000000,-48.4000000000,93.7000000000,80.0400000000
2014-01,89.7000000000,25.5000000000,-54.7000000000,92.6000000000,78.5600000000
2014-02,90.4000000000,25.3000000000,-55.0000000000,93.6000000000,78.4600000000
2014-03,90.0000000000,25.1000000000,-50.1000000000,93.0000000000,79.7000000000
2014-04,90.7000000000,24.8000000000,-51.5000000000,95.0000000000,80.2000000000
2014-05,91.1000000000,24.6000000000,-49.5000000000,93.9000000000,80.1800000000
2014-06,91.0000000000,24.4000000000,-62.7000000000,93.4000000000,80.1400000000
2014-07,91.1000000000,24.3000000000,-35.0000000000,93.4000000000,78.9100000000
2014-08,91.6000000000,24.1000000000,-32.2000000000,93.4000000000,78.9800000000
2014-09,91.3000000000,24.0000000000,-23.8000000000,94.4000000000,79.7800000000
2014-10,91.4000000000,24.0000000000,-22.2000000000,94.6000000000,79.8400000000
2014-11,92.3000000000,23.8000000000,-25.2000000000,94.7000000000,79.6500000000
2014-12,93.2000000000,23.6000000000,-27.5000000000,94.0000000000,79.1300000000
2015-01,93.6000000000,23.4000000000,-28.4000000000,93.2000000000,77.4100000000
2015-02,93.5000000000,23.1000000000,-26.4000000000,94.8000000000,77.5200000000
2015-03,94.3000000000,22.9000000000,-20.8000000000,97.4000000000,79.0800000000
2015-04,93.7000000000,22.7000000000,-30.4000000000,94.8000000000,79.6100000000
2015-05,94.6000000000,22.5000000000,-30.4000000000,97.0000000000,79.9600000000
2015-06,93.5000000000,22.3000000000,-31.9000000000,97.8000000000,80.1200000000
2015-07,94.8000000000,21.9000000000,-28.5000000000,98.9000000000,78.8800000000
2015-08,95.6000000000,21.6000000000,-23.2000000000,97.7000000000,78.5600000000
2015-09,96.1000000000,21.4000000000,-29.6000000000,98.1000000000,78.8800000000
2015-10,96.5000000000,21.3000000000,-27.6000000000,97.6000000000,79.1300000000
2015-11,96.8000000000,20.9000000000,-23.6000000000,98.6000000000,79.3300000000
