date,target,strong_1,strong_2,strong_3,medium_1,medium_2,medium_3,medium_4,weak_1,weak_2,weak_3,weak_4,noise_1,noise_2,noise_3,noise_4
2008-01,0.1578297565,-1.4823794352,1.0904729916,-0.1586221179,-0.3797902681,0.6472858285,-1.5237006030,-1.4246593806,0.8866728909,-0.2746395491,1.4648083426,0.6610588635,0.3183087327,1.1936321533,-1.0537739464,1.7858226227
2008-02,-1.3175604516,-1.0062691451,1.0978499306,-0.0193430747,1.7888458861,-0.5018504731,-0.7287170892,0.7439701771,0.5656343751,1.5827797633,0.4728950910,0.2555499400,0.1952429474,1.2455714008,-0.6207342550,0.6808200767
2008-03,-1.4455303310,1.5991360553,1.4582897404,1.5853007362,1.3301553430,-0.5496415110,-0.2809333554,0.5537248383,-0.5383223801,-2.1535910887,0.0946389339,-1.1309473169,-0.0911823942,-0.4992920177,0.4128165337,0.7045340320
2008-04,2.3614733591,0.5333836527,0.2568964183,1.6667142317,0.0850707425,0.2919827874,-1.2570857860,-2.0074204331,-0.7393599657,-0.5147347404,1.5173381554,-1.1571363404,1.1720607024,1.4641163802,0.8325953025,0.2587581299
2008-05,2.2246106672,0.3105819830,-0.4835909101,0.2938956883,-0.0677485489,1.1662669028,-1.0392130377,-0.8719164878,0.2782530366,-0.2990643970,-0.2744998932,-0.2228294218,0.1932685414,-2.3550730494,0.7119217026,-0.8488914163
2008-06,1.0338562862,-0.2848632333,0.8747806011,0.2231905268,0.3047156872,-0.5421791765,-2.1636139507,-0.8970537395,2.5813342722,-0.4873876838,-0.2163535240,-1.8277355072,0.0719289749,-0.2147205194,0.5352836123,-0.0611693585
2008-07,0.0743434561,0.1768212881,0.8222926832,-1.1556953460,-1.1397681919,-0.9051561321,-1.4239993174,-0.1676639027,1.2497181511,0.4693813527,0.5776001642,-0.2705224588,0.4165582298,0.3344583013,-0.5914207949,0.0852769239
2008-08,-1.1844457722,-1.3774515732,-0.8398714916,1.1466859879,0.0500313935,0.1725322279,-0.6062869974,-0.9042723735,-0.5001165754,1.0306418257,-0.1594237718,0.3717124599,1.8191460509,-1.4333962226,-0.2030402648,-1.3114395613
2008-09,-0.5428362415,0.4513562840,1.0744583031,0.2358001000,0.0177369628,0.6082786777,2.2706144278,0.7017676813,-0.4020060796,-1.3057149800,-0.1425844585,0.1602951113,-0.0299910935,-1.5752048822,0.9918731511,1.4587413127
2008-10,-0.0582972046,-1.4912361170,0.2064004156,-0.3190033810,-0.2513446437,-0.9200704219,0.4575402407,0.1575556036,1.4319176563,-0.7064912521,0.9672479267,0.6559410447,0.5331220340,-0.1097400361,0.9501440394,-0.5945449697
