step,target,strong_1,strong_2,strong_3,medium_1,medium_2,medium_3,medium_4,weak_1,weak_2,weak_3,weak_4,noise_1,noise_2,noise_3,noise_4
0,0.2810842397,-0.5310394739,0.9364425673,-0.9598328594,0.7749154186,-1.4977511751,-0.0225463269,0.1992272834,-1.2204962347,-0.8871638943,-1.4866060020,-1.8687716597,-1.8036742496,-1.1841144226,-1.8526468171,0.6946267321
1,-1.1607794480,-0.7424481781,0.9971735987,1.1160779958,0.8551062673,-0.5065499728,-2.7219467352,-1.4377860412,0.7640449406,0.3202680277,-1.5400720479,-0.5924556030,0.1130285714,-0.0568261580,-0.8963655130,0.6273575386
2,-0.6422911808,0.7274958348,0.5449748507,-1.3800297179,-0.2577387627,-1.2280707245,0.4575769158,0.3324067751,-0.8396300643,0.5571443336,0.3246802513,-0.1367635726,-1.1424060436,-1.8215550644,-1.0949294262,-2.0092220244
3,0.1398866380,1.4912584184,0.1957075883,-0.2643592094,0.3146861088,0.7210395865,1.1019835939,1.0044715943,-0.8009957758,0.2453720085,0.0626870069,0.5056599849,0.3589001567,-0.5072916286,0.7661558067,0.1302990933
4,-0.0428752130,0.2947881277,0.1873413261,-0.6201552482,-0.0454719076,1.5535947026,1.2970951095,-0.5640435689,-0.7848846410,0.7657770393,0.0570746823,0.8671269223,1.2383205462,0.8329637525,-0.5995423204,0.0752784678
5,-1.5068455076,0.2549433262,0.2366489799,-1.7501334266,-1.2522346697,-1.3503781537,0.0324995263,-0.5783458178,0.1208764517,-1.9463495262,-0.2453038978,1.4647181287,-0.1659091456,1.3534806093,0.9780356869,-1.4445842690
6,-0.7723177035,-1.0685268002,0.0198447506,-0.1975216384,-1.4165256701,0.4633363377,-0.0758513484,-0.2487808957,-0.4568076216,-2.3230281535,-0.1492085027,0.9273626712,0.6998879185,0.2968228877,0.1191303517,-0.7403745493
7,-1.4911563933,0.0414588074,-1.1877397063,-1.8445479320,-0.2314306978,-0.4089350197,-0.9559853491,-0.0673051040,-1.6298589656,-0.3981106198,-0.3379798476,2.0001197812,0.6052474511,-0.1876285705,0.3481199899,-0.6804982969
8,-1.6002176231,-0.2359485818,0.5766836709,1.3552854184,0.4986217922,-0.0714622049,-0.7986614628,0.6501702786,-0.7771597242,-1.0443276554,0.7699174799,-0.1645048205,-0.7339114946,-0.3917969422,-0.3734010467,-1.5028912681
9,-0.5998575684,-1.1086745748,0.3079524493,0.7370903944,0.1216739512,-0.4583361051,-0.9790138707,-0.5052269811,-0.9743487917,-0.5332290776,-0.1005030026,-0.3417254756,-0.5388213923,0.6328877878,-0.2367024188,-1.5275107181
10,-0.6994441457,0.5204151455,-0.6467022910,1.2300041393,0.6057271135,-2.6942688759,-0.1962419372,0.7257249625,-0.7219996621,0.9244942513,1.9550850793,-1.1397123586,-1.3367332532,-1.1470193740,-0.0957389549,-1.3010806868
11,3.0922891188,0.5234025409,-1.4034198341,1.9274325839,-0.2569656213,1.9853374799,-0.0261850884,1.0461712933,-0.7367105657,-0.9452609987,0.5346287228,1.0750804364,-0.7517410007,1.3243762956,-0.2688747243,-0.4151081987
12,1.8326801795,-0.3415068021,-2.4649048586,-1.4822204228,-0.2952019229,0.5113056490,-1.9612639728,0.7231160575,0.2914703998,-0.2275736454,1.0960359546,1.1476941021,-0.1391264547,-1.0912874587,-1.7576417975,1.1449635509
13,-0.1197583277,2.0413718921,0.3882992019,-0.3029468849,-1.8370425242,0.6061090482,-0.6733621021,0.5845505211,1.4592571705,-0.0607075630,0.7783726041,-0.3478499441,-0.4702649324,0.8552050665,-1.8666041412,-1.5405104400
14,0.7689765330,-0.7516815149,1.0968932814,0.6679819969,0.4286660572,-0.6838682579,0.8552858928,-0.5712194369,0.3248810669,-2.1667755211,0.1100789749,1.1265566871,0.0479609007,1.5839800576,-0.1434234012,-0.3599868743
15,1.2054018231,-1.0734935356,-0.2758513476,0.6796698918,1.3411590195,-1.8830006785,0.0980220980,0.1612788485,-0.0654245600,0.9482289512,1.3100617706,-1.6898347314,-1.0415477413,-0.7227649215,-1.1758474977,0.4449265163
16,1.1381183794,1.6140901385,0.6534555385,0.0805819760,2.3821795883,0.0915308406,-0.4353104005,0.4468462508,-0.3800847317,1.2627435964,-0.1599105671,0.1941201278,1.1249177534,-1.5986546754,-1.0560731909,-1.0864945369
17,1.1636471901,0.6538353818,-0.0341064640,-0.7976534653,-0.1869389645,-1.3581584417,-1.3258960990,0.8681913137,-0.1660075004,0.3368972297,2.2264114385,-0.1652891659,-1.1824902773,-1.1845745424,-3.5391720364,-0.7950066727
18,1.0286872495,0.9379618984,0.4515117270,-0.7699185333,-0.1533860241,0.3647388259,-0.2778703434,0.5738855004,0.1987560891,2.3497606788,0.0840595560,0.7251543159,-0.4942754343,0.7124030481,-0.8402044512,-0.6263591486
