case,origin_date,era,skill
spain_industrial_shock_2008_2021,2018-01,validation,0.316856
spain_industrial_shock_2008_2021,2018-02,validation,-2.060920
spain_industrial_shock_2008_2021,2018-03,validation,-0.224293
spain_industrial_shock_2008_2021,2018-04,validation,0.491194
spain_industrial_shock_2008_2021,2018-05,validation,0.404833
spain_industrial_shock_2008_2021,2018-06,validation,-0.515048
spain_industrial_shock_2008_2021,2018-07,validation,0.631632
spain_industrial_shock_2008_2021,2018-08,validation,-0.251046
spain_industrial_shock_2008_2021,2018-09,validation,-0.080469
spain_industrial_shock_2008_2021,2018-10,validation,-0.027338
spain_industrial_shock_2008_2021,2018-11,validation,0.511382
spain_industrial_shock_2008_2021,2018-12,validation,-5.608812
spain_industrial_shock_2008_2021,2019-01,validation,0.064533
spain_industrial_shock_2008_2021,2019-02,validation,-0.342312
spain_industrial_shock_2008_2021,2019-03,validation,0.917137
spain_industrial_shock_2008_2021,2019-04,validation,-7.929756
spain_industrial_shock_2008_2021,2019-05,validation,-0.882371
spain_industrial_shock_2008_2021,2019-06,validation,-0.010743
spain_industrial_shock_2008_2021,2019-07,validation,0.164678
spain_industrial_shock_2008_2021,2019-08,validation,0.476212
spain_industrial_shock_2008_2021,2019-09,validation,0.553792
spain_industrial_shock_2008_2021,2019-10,validation,0.879899
spain_industrial_shock_2008_2021,2019-11,validation,0.407624
spain_industrial_shock_2008_2021,2019-12,validation,0.587082
spain_industrial_shock_2008_2021,2020-01,pandemic,0.494127
spain_industrial_shock_2008_2021,2020-02,pandemic,-0.899637
spain_industrial_shock_2008_2021,2020-03,pandemic,0.016209
spain_industrial_shock_2008_2021,2020-04,pandemic,-0.349000
spain_industrial_shock_2008_2021,2020-05,pandemic,-1.161293
spain_industrial_shock_2008_2021,2020-06,pandemic,0.686483
spain_industrial_shock_2008_2021,2020-07,pandemic,-0.757156
spain_industrial_shock_2008_2021,2020-08,pandemic,0.704244
spain_industrial_shock_2008_2021,2020-09,pandemic,-0.167535
spain_industrial_shock_2008_2021,2020-10,pandemic,0.703555
spain_industrial_shock_2008_2021,2020-11,pandemic,-0.736990
spain_industrial_shock_2008_2021,2020-12,pandemic,-3.360006
spain_industrial_shock_2008_2021,2021-01,pandemic,-2.333385
spain_industrial_shock_2008_2021,2021-02,pandemic,-21.406214
spain_industrial_shock_2008_2021,2021-03,pandemic,-0.585616
spain_industrial_shock_2008_2021,2021-04,pandemic,0.818026
spain_industrial_shock_2008_2021,2021-05,pandemic,0.181149
spain_industrial_shock_2008_2021,2021-06,pandemic,-6.270950
spain_industrial_shock_2008_2021,2021-07,pandemic,-0.217364
spain_industrial_shock_2008_2021,2021-08,pandemic,-0.834972
spain_industrial_shock_2008_2021,2021-09,pandemic,-10.311156
spain_industrial_shock_2008_2021,2021-10,pandemic,-4.515639
spain_industrial_shock_2008_2021,2021-11,pandemic,0.779293
spain_industrial_shock_2008_2021,2021-12,pandemic,0.507498
