track,seed,budget_ratio,threshold,retained_relation_count,retained_feature_count,downstream_compute_proxy,downstream_memory_proxy,estimated_memory_bytes,downstream_compute_reduction_pct,downstream_memory_reduction_pct,mae,rmse,mae_loss_pct,rmse_loss_pct,strong_retained,medium_retained,weak_retained,noise_retained
s4_correctness_regression,101,1.00,0.0600000000,2,2,3000,3000,24000,0.0000000000,0.0000000000,0.6249143083,0.7689899630,0.0000000000,0.0000000000,1,1,0,0
s4_correctness_regression,101,0.75,0.1700000000,2,2,3000,3000,24000,0.0000000000,0.0000000000,0.6249143083,0.7689899630,0.0000000000,0.0000000000,1,1,0,0
s4_correctness_regression,101,0.50,0.2800000000,2,2,3000,3000,24000,0.0000000000,0.0000000000,0.6249143083,0.7689899630,0.0000000000,0.0000000000,1,1,0,0
s4_correctness_regression,101,0.25,0.3900000000,0,0,0,0,0,100.0000000000,100.0000000000,0.6791239295,0.8402119371,8.6747287501,9.2617559985,0,0,0,0
s4_correctness_regression,101,0.00,0.5000000000,0,0,0,0,0,100.0000000000,100.0000000000,0.6791239295,0.8402119371,8.6747287501,9.2617559985,0,0,0,0
s4_correctness_regression,103,1.00,0.0600000000,2,2,3000,3000,24000,0.0000000000,0.0000000000,0.5694767569,0.6978621542,0.0000000000,0.0000000000,1,1,0,0
s4_correctness_regression,103,0.75,0.1700000000,2,2,3000,3000,24000,0.0000000000,0.0000000000,0.5694767569,0.6978621542,0.0000000000,0.0000000000,1,1,0,0
s4_correctness_regression,103,0.50,0.2800000000,2,2,3000,3000,24000,0.0000000000,0.0000000000,0.5694767569,0.6978621542,0.0000000000,0.0000000000,1,1,0,0
s4_correctness_regression,103,0.25,0.3900000000,1,1,1500,1500,12000,50.0000000000,50.0000000000,0.6190155547,0.7469569546,8.6990025769,7.0350283489,0,1,0,0
s4_correctness_regression,103,0.00,0.5000000000,0,0,0,0,0,100.0000000000,100.0000000000,0.6792363984,0.8106689320,19.2737702109,16.1646217831,0,0,0,0
s4_correctness_regression,107,1.00,0.0600000000,3,3,4500,4500,36000,0.0000000000,0.0000000000,0.4880009412,0.6324027355,0.0000000000,0.0000000000,1,1,0,1
s4_correctness_regression,107,0.75,0.1700000000,2,2,3000,3000,24000,33.3333333333,33.3333333333,0.4900955174,0.6367389626,0.4292156145,0.6856749369,1,1,0,0
s4_correctness_regression,107,0.50,0.2800000000,2,2,3000,3000,24000,33.3333333333,33.3333333333,0.4900955174,0.6367389626,0.4292156145,0.6856749369,1,1,0,0
s4_correctness_regression,107,0.25,0.3900000000,1,1,1500,1500,12000,66.6666666667,66.6666666667,0.5516257600,0.7050751557,13.0378475606,11.4914778248,0,1,0,0
