track,seed,budget_ratio,threshold,rank,source,tier,selected_lag,weight,score,sample_count
s4_correctness_regression,101,1.00,0.0600000000,1,driver_b,medium,3,-0.3143051463,0.3143051463,417
s4_correctness_regression,101,1.00,0.0600000000,2,driver_a,strong,1,0.3013213664,0.3013213664,419
s4_correctness_regression,101,0.75,0.1700000000,1,driver_b,medium,3,-0.3143051463,0.3143051463,417
s4_correctness_regression,101,0.75,0.1700000000,2,driver_a,strong,1,0.3013213664,0.3013213664,419
s4_correctness_regression,101,0.50,0.2800000000,1,driver_b,medium,3,-0.3143051463,0.3143051463,417
s4_correctness_regression,101,0.50,0.2800000000,2,driver_a,strong,1,0.3013213664,0.3013213664,419
s4_correctness_regression,103,1.00,0.0600000000,1,driver_b,medium,2,-0.4583879675,0.4583879675,418
s4_correctness_regression,103,1.00,0.0600000000,2,driver_a,strong,1,0.2975718460,0.2975718460,419
s4_correctness_regression,103,0.75,0.1700000000,1,driver_b,medium,2,-0.4583879675,0.4583879675,418
s4_correctness_regression,103,0.75,0.1700000000,2,driver_a,strong,1,0.2975718460,0.2975718460,419
s4_correctness_regression,103,0.50,0.2800000000,1,driver_b,medium,2,-0.4583879675,0.4583879675,418
s4_correctness_regression,103,0.50,0.2800000000,2,driver_a,strong,1,0.2975718460,0.2975718460,419
s4_correctness_regression,103,0.25,0.3900000000,1,driver_b,medium,2,-0.4583879675,0.4583879675,418
s4_correctness_regression,107,1.00,0.0600000000,1,driver_b,medium,2,-0.4585020824,0.4585020824,418
s4_correctness_regression,107,1.00,0.0600000000,2,driver_a,strong,1,0.3510622577,0.3510622577,419
s4_correctness_regression,107,1.00,0.0600000000,3,noise,noise,1,-0.0638561022,0.0638561022,419
s4_correctness_regression,107,0.75,0.1700000000,1,driver_b,medium,2,-0.4585020824,0.4585020824,418
s4_correctness_regression,107,0.75,0.1700000000,2,driver_a,strong,1,0.3510622577,0.3510622577,419
s4_correctness_regression,107,0.50,0.2800000000,1,driver_b,medium,2,-0.4585020824,0.4585020824,418
s4_correctness_regression,107,0.50,0.2800000000,2,driver_a,strong,1,0.3510622577,0.3510622577,419
s4_correctness_regression,107,0.25,0.3900000000,1,driver_b,medium,2,-0.4585020824,0.4585020824,418
s4_correctness_regression,109,1.00,0.0600000000,1,driver_b,medium,2,-0.4323539346,0.4323539346,418
s4_correctness_regression,109,1.00,0.0600000000,2,driver_a,strong,1,0.2771566688,0.2771566688,419
s4_correctness_regression,109,0.75,0.1700000000,1,driver_b,medium,2,-0.4323539346,0.4323539346,418
s4_correctness_regression,109,0.75,0.1700000000,2,driver_a,strong,1,0.2771566688,0.2771566688,419
s4_correctness_regression,109,0.50,0.2800000000,1,driver_b,medium,2,-0.4323539346,0.4323539346,418
s4_correctness_regression,109,0.25,0.3900000000,1,driver_b,medium,2,-0.4323539346,0.4323539346,418
s4_correctness_regression,113,1.00,0.0600000000,1,driver_b,medium,2,-0.4577131876,0.4577131876,418
s4_correctness_regression,113,1.00,0.0600000000,2,driver_a,strong,3,0.2922334298,0.2922334298,417
s4_correctness_regression,113,1.00,0.0600000000,3,noise,noise,5,0.0844371436,0.0844371436,415
s4_correctness_regression,113,0.75,0.1700000000,1,driver_b,medium,2,-0.4577131876,0.4577131876,418
s4_correctness_regression,113,0.75,0.1700000000,2,driver_a,strong,3,0.2922334298,0.2922334298,417
s4_correctness_regression,113,0.50,0.2800000000,1,driver_b,medium,2,-0.4577131876,0.4577131876,418
s4_correctness_regression,113,0.50,0.2800000000,2,driver_a,strong,3,0.2922334298,0.2922334298,417
s4_correctness_regression,113,0.25,0.3900000000,1,driver_b,medium,2,-0.4577131876,0.4577131876,418
resource_stress,211,1.00,0.0600000000,1,strong_1,strong,1,0.4878932447,0.4878932447,419
resource_stress,211,1.00,0.0600000000,2,strong_2,strong,1,-0.3903338359,0.3903338359,419
resource_stress,211,1.00,0.0600000000,3,strong_3,strong,1,0.3827552670,0.3827552670,419
resource_stress,211,1.00,0.0600000000,4,medium_1,medium,1,0.3031002110,0.3031002110,419
resource_stress,211,1.00,0.0600000000,5,medium_3,medium,1,0.3014015545,0.3014015545,419
resource_stress,211,1.00,0.0600000000,6,medium_2,medium,1,-0.2748965324,0.2748965324,419
resource_stress,211,1.00,0.0600000000,7,medium_4,medium,1,-0.1920844559,0.1920844559,419
resource_stress,211,1.00,0.0600000000,8,weak_3,weak,1,0.1590840272,0.1590840272,419
resource_stress,211,1.00,0.0600000000,9,noise_3,noise,5,-0.1024161785,0.1024161785,415
resource_stress,211,1.00,0.0600000000,10,noise_1,noise,4,0.1015260079,0.1015260079,416
resource_stress,211,1.00,0.0600000000,11,weak_4,weak,5,0.1006555560,0.1006555560,415
resource_stress,211,1.00,0.0600000000,12,noise_2,noise,1,-0.0946999826,0.0946999826,419
resource_stress,211,1.00,0.0600000000,13,noise_4,noise,3,0.0909891976,0.0909891976,417
resource_stress,211,1.00,0.0600000000,14,weak_1,weak,3,-0.0854284672,0.0854284672,417
resource_stress,211,1.00,0.0600000000,15,weak_2,weak,1,-0.0841662036,0.0841662036,419
resource_stress,211,0.75,0.1700000000,1,strong_1,strong,1,0.4878932447,0.4878932447,419
resource_stress,211,0.75,0.1700000000,2,strong_2,strong,1,-0.3903338359,0.3903338359,419
resource_stress,211,0.75,0.1700000000,3,strong_3,strong,1,0.3827552670,0.3827552670,419
resource_stress,211,0.75,0.1700000000,4,medium_1,medium,1,0.3031002110,0.3031002110,419
resource_stress,211,0.75,0.1700000000,5,medium_3,medium,1,0.3014015545,0.3014015545,419
resource_stress,211,0.75,0.1700000000,6,medium_2,medium,1,-0.2748965324,0.2748965324,419
resource_stress,211,0.75,0.1700000000,7,medium_4,medium,1,-0.1920844559,0.1920844559,419
resource_stress,211,0.50,0.2800000000,1,strong_1,strong,1,0.4878932447,0.4878932447,419
resource_stress,211,0.50,0.2800000000,2,strong_2,strong,1,-0.3903338359,0.3903338359,419
resource_stress,211,0.50,0.2800000000,3,strong_3,strong,1,0.3827552670,0.3827552670,419
resource_stress,211,0.50,0.2800000000,4,medium_1,medium,1,0.3031002110,0.3031002110,419
resource_stress,211,0.50,0.2800000000,5,medium_3,medium,1,0.3014015545,0.3014015545,419
resource_stress,211,0.25,0.3900000000,1,strong_1,strong,1,0.4878932447,0.4878932447,419
resource_stress,211,0.25,0.3900000000,2,strong_2,strong,1,-0.3903338359,0.3903338359,419
resource_stress,223,1.00,0.0600000000,1,strong_1,strong,1,0.4852530816,0.4852530816,419
resource_stress,223,1.00,0.0600000000,2,strong_2,strong,1,-0.3880053901,0.3880053901,419
resource_stress,223,1.00,0.0600000000,3,medium_1,medium,1,0.3605565584,0.3605565584,419
resource_stress,223,1.00,0.0600000000,4,strong_3,strong,1,0.3188054919,0.3188054919,419
resource_stress,223,1.00,0.0600000000,5,medium_2,medium,1,-0.2679907693,0.2679907693,419
resource_stress,223,1.00,0.0600000000,6,medium_3,medium,1,0.2212732831,0.2212732831,419
resource_stress,223,1.00,0.0600000000,7,medium_4,medium,1,-0.1857796761,0.1857796761,419
resource_stress,223,1.00,0.0600000000,8,weak_3,weak,1,0.1594149781,0.1594149781,419
resource_stress,223,1.00,0.0600000000,9,weak_2,weak,1,-0.1272046004,0.1272046004,419
resource_stress,223,1.00,0.0600000000,10,weak_1,weak,1,0.1009401951,0.1009401951,419
resource_stress,223,1.00,0.0600000000,11,noise_3,noise,3,0.1000309807,0.1000309807,417
resource_stress,223,1.00,0.0600000000,12,weak_4,weak,3,-0.0777426360,0.0777426360,417
resource_stress,223,1.00,0.0600000000,13,noise_1,noise,2,-0.0745767094,0.0745767094,418
resource_stress,223,1.00,0.0600000000,14,noise_4,noise,3,-0.0603373053,0.0603373053,417
resource_stress,223,0.75,0.1700000000,1,strong_1,strong,1,0.4852530816,0.4852530816,419
resource_stress,223,0.75,0.1700000000,2,strong_2,strong,1,-0.3880053901,0.3880053901,419
resource_stress,223,0.75,0.1700000000,3,medium_1,medium,1,0.3605565584,0.3605565584,419
resource_stress,223,0.75,0.1700000000,4,strong_3,strong,1,0.3188054919,0.3188054919,419
resource_stress,223,0.75,0.1700000000,5,medium_2,medium,1,-0.2679907693,0.2679907693,419
resource_stress,223,0.75,0.1700000000,6,medium_3,medium,1,0.2212732831,0.2212732831,419
resource_stress,223,0.75,0.1700000000,7,medium_4,medium,1,-0.1857796761,0.1857796761,419
resource_stress,223,0.50,0.2800000000,1,strong_1,strong,1,0.4852530816,0.4852530816,419
resource_stress,223,0.50,0.2800000000,2,strong_2,strong,1,-0.3880053901,0.3880053901,419
resource_stress,223,0.50,0.2800000000,3,medium_1,medium,1,0.3605565584,0.3605565584,419
resource_stress,223,0.50,0.2800000000,4,strong_3,strong,1,0.3188054919,0.3188054919,419
resource_stress,223,0.25,0.3900000000,1,strong_1,strong,1,0.4852530816,0.4852530816,419
resource_stress,227,1.00,0.0600000000,1,strong_2,strong,1,-0.4710725573,0.4710725573,419
resource_stress,227,1.00,0.0600000000,2,strong_1,strong,1,0.4138788277,0.4138788277,419
resource_stress,227,1.00,0.0600000000,3,strong_3,strong,1,0.3716931630,0.3716931630,419
resource_stress,227,1.00,0.0600000000,4,medium_4,medium,1,-0.2377347787,0.2377347787,419
resource_stress,227,1.00,0.0600000000,5,weak_3,weak,1,0.2358291685,0.2358291685,419
resource_stress,227,1.00,0.0600000000,6,medium_2,medium,1,-0.2316727897,0.2316727897,419
resource_stress,227,1.00,0.0600000000,7,weak_1,weak,1,0.1934493317,0.1934493317,419
resource_stress,227,1.00,0.0600000000,8,medium_3,medium,1,0.1779803016,0.1779803016,419
resource_stress,227,1.00,0.0600000000,9,weak_4,weak,1,-0.1530274494,0.1530274494,419
resource_stress,227,1.00,0.0600000000,10,medium_1,medium,1,0.1410330744,0.1410330744,419
