fixture,seed,fixed_threshold_precision,fixed_threshold_recall,evidence_gate_precision,evidence_gate_recall,fixed_selected_count,gate_selected_count
fixture_d_mixed_true_pseudo_dead,0,0.23076923076923078,1.0,1.0,1.0,13,3
fixture_d_mixed_true_pseudo_dead,1,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,2,0.3,1.0,1.0,1.0,10,3
fixture_d_mixed_true_pseudo_dead,3,0.25,1.0,1.0,1.0,12,3
fixture_d_mixed_true_pseudo_dead,4,0.3,1.0,1.0,1.0,10,3
fixture_d_mixed_true_pseudo_dead,5,0.21428571428571427,1.0,1.0,1.0,14,3
fixture_d_mixed_true_pseudo_dead,6,0.3,1.0,1.0,1.0,10,3
fixture_d_mixed_true_pseudo_dead,7,0.3,1.0,1.0,1.0,10,3
fixture_d_mixed_true_pseudo_dead,8,0.3,1.0,1.0,1.0,10,3
fixture_d_mixed_true_pseudo_dead,9,0.3333333333333333,1.0,1.0,1.0,9,3
fixture_d_mixed_true_pseudo_dead,10,0.21428571428571427,1.0,1.0,1.0,14,3
fixture_d_mixed_true_pseudo_dead,11,0.21428571428571427,1.0,1.0,1.0,14,3
fixture_d_mixed_true_pseudo_dead,12,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,13,0.3,1.0,1.0,1.0,10,3
fixture_d_mixed_true_pseudo_dead,14,0.25,1.0,1.0,1.0,12,3
fixture_d_mixed_true_pseudo_dead,15,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,16,0.23076923076923078,1.0,1.0,1.0,13,3
fixture_d_mixed_true_pseudo_dead,17,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,18,0.25,1.0,1.0,1.0,12,3
fixture_d_mixed_true_pseudo_dead,19,0.21428571428571427,1.0,1.0,1.0,14,3
fixture_d_mixed_true_pseudo_dead,20,0.3,1.0,1.0,1.0,10,3
fixture_d_mixed_true_pseudo_dead,21,0.25,1.0,1.0,1.0,12,3
fixture_d_mixed_true_pseudo_dead,22,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,23,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,24,0.3,1.0,1.0,1.0,10,3
fixture_d_mixed_true_pseudo_dead,25,0.3333333333333333,1.0,1.0,1.0,9,3
fixture_d_mixed_true_pseudo_dead,26,0.25,1.0,1.0,1.0,12,3
fixture_d_mixed_true_pseudo_dead,27,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,28,0.23076923076923078,1.0,1.0,1.0,13,3
fixture_d_mixed_true_pseudo_dead,29,0.25,1.0,1.0,1.0,12,3
fixture_d_mixed_true_pseudo_dead,30,0.21428571428571427,1.0,1.0,1.0,14,3
fixture_d_mixed_true_pseudo_dead,31,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,32,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,33,0.25,1.0,1.0,1.0,12,3
fixture_d_mixed_true_pseudo_dead,34,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,35,0.3,1.0,1.0,1.0,10,3
fixture_d_mixed_true_pseudo_dead,36,0.23076923076923078,1.0,1.0,1.0,13,3
fixture_d_mixed_true_pseudo_dead,37,0.23076923076923078,1.0,1.0,1.0,13,3
fixture_d_mixed_true_pseudo_dead,38,0.23076923076923078,1.0,1.0,1.0,13,3
fixture_d_mixed_true_pseudo_dead,39,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,40,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,41,0.3,1.0,1.0,1.0,10,3
fixture_d_mixed_true_pseudo_dead,42,0.3,1.0,1.0,1.0,10,3
fixture_d_mixed_true_pseudo_dead,43,0.25,1.0,1.0,1.0,12,3
fixture_d_mixed_true_pseudo_dead,44,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,45,0.21428571428571427,1.0,1.0,1.0,14,3
fixture_d_mixed_true_pseudo_dead,46,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,47,0.21428571428571427,1.0,1.0,1.0,14,3
fixture_d_mixed_true_pseudo_dead,48,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,49,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,50,0.3,1.0,1.0,1.0,10,3
fixture_d_mixed_true_pseudo_dead,51,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,52,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,53,0.25,1.0,1.0,1.0,12,3
fixture_d_mixed_true_pseudo_dead,54,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,55,0.3,1.0,1.0,1.0,10,3
fixture_d_mixed_true_pseudo_dead,56,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,57,0.23076923076923078,1.0,1.0,1.0,13,3
fixture_d_mixed_true_pseudo_dead,58,0.21428571428571427,1.0,1.0,1.0,14,3
fixture_d_mixed_true_pseudo_dead,59,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,60,0.21428571428571427,1.0,1.0,1.0,14,3
fixture_d_mixed_true_pseudo_dead,61,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,62,0.3333333333333333,1.0,1.0,1.0,9,3
fixture_d_mixed_true_pseudo_dead,63,0.3333333333333333,1.0,1.0,1.0,9,3
fixture_d_mixed_true_pseudo_dead,64,0.25,1.0,1.0,1.0,12,3
fixture_d_mixed_true_pseudo_dead,65,0.3,1.0,1.0,1.0,10,3
fixture_d_mixed_true_pseudo_dead,66,0.21428571428571427,1.0,1.0,1.0,14,3
fixture_d_mixed_true_pseudo_dead,67,0.2727272727272727,1.0,1.0,1.0,11,3
fixture_d_mixed_true_pseudo_dead,68,0.2727272727272727,1.0,1.0,1.0,11,3
