case_name,signal,transform,level_lag1_acf,highly_persistent_risk,diagnostic_scope
spain_retail_eurostat_2008_2025,retail_volume,diff,0.9477294710,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_2008_2025,consumer_confidence,diff,0.9004248695,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_2008_2025,hicp,diff,0.9924699111,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_2008_2025,industrial_production,diff,0.9222911596,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_2008_2025,unemployment_rate,diff,0.9980980978,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_production_eurostat_2008_2023,industrial_production,diff,0.9270018376,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_production_eurostat_2008_2023,domestic_energy_producer_prices,diff,0.9669706090,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_production_eurostat_2008_2023,manufacturing_employment_expectations,diff,0.9216808200,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_production_eurostat_2008_2023,order_book_assessment,diff,0.9667721863,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_production_eurostat_2008_2023,production_expectations,diff,0.7220493543,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_expanded_2008_2025,retail_volume,diff,0.9477294710,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_expanded_2008_2025,construction_confidence,diff,0.9004248695,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_expanded_2008_2025,construction_production,diff,0.9138240542,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_expanded_2008_2025,consumer_confidence,diff,0.9004248695,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_expanded_2008_2025,economic_sentiment,diff,0.9467788388,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
