fixture,path,seed,death_step,k_steps,detection_lag,detected_within_k
fixture_c_relation_death,s7_transformed_diff_rolling,0,120,30,11,true
fixture_c_relation_death,s7_transformed_diff_rolling,1,120,30,15,true
fixture_c_relation_death,s7_transformed_diff_rolling,2,120,30,8,true
fixture_c_relation_death,s7_transformed_diff_rolling,3,120,30,14,true
fixture_c_relation_death,s7_transformed_diff_rolling,4,120,30,7,true
fixture_c_relation_death,s7_transformed_diff_rolling,5,120,30,9,true
fixture_c_relation_death,s7_transformed_diff_rolling,6,120,30,9,true
fixture_c_relation_death,s7_transformed_diff_rolling,7,120,30,25,true
fixture_c_relation_death,s7_transformed_diff_rolling,8,120,30,7,true
fixture_c_relation_death,s7_transformed_diff_rolling,9,120,30,22,true
fixture_c_relation_death,s7_transformed_diff_rolling,10,120,30,15,true
fixture_c_relation_death,s7_transformed_diff_rolling,11,120,30,19,true
fixture_c_relation_death,s7_transformed_diff_rolling,12,120,30,18,true
fixture_c_relation_death,s7_transformed_diff_rolling,13,120,30,15,true
fixture_c_relation_death,s7_transformed_diff_rolling,14,120,30,11,true
fixture_c_relation_death,s7_transformed_diff_rolling,15,120,30,1,true
fixture_c_relation_death,s7_transformed_diff_rolling,16,120,30,18,true
fixture_c_relation_death,s7_transformed_diff_rolling,17,120,30,10,true
fixture_c_relation_death,s7_transformed_diff_rolling,18,120,30,6,true
fixture_c_relation_death,s7_transformed_diff_rolling,19,120,30,6,true
fixture_c_relation_death,s7_transformed_diff_rolling,20,120,30,8,true
fixture_c_relation_death,s7_transformed_diff_rolling,21,120,30,17,true
fixture_c_relation_death,s7_transformed_diff_rolling,22,120,30,18,true
fixture_c_relation_death,s7_transformed_diff_rolling,23,120,30,22,true
fixture_c_relation_death,s7_transformed_diff_rolling,24,120,30,15,true
fixture_c_relation_death,s7_transformed_diff_rolling,25,120,30,17,true
fixture_c_relation_death,s7_transformed_diff_rolling,26,120,30,9,true
fixture_c_relation_death,s7_transformed_diff_rolling,27,120,30,18,true
fixture_c_relation_death,s7_transformed_diff_rolling,28,120,30,15,true
fixture_c_relation_death,s7_transformed_diff_rolling,29,120,30,14,true
fixture_c_relation_death,s7_transformed_diff_rolling,30,120,30,6,true
fixture_c_relation_death,s7_transformed_diff_rolling,31,120,30,12,true
fixture_c_relation_death,s7_transformed_diff_rolling,32,120,30,13,true
fixture_c_relation_death,s7_transformed_diff_rolling,33,120,30,16,true
fixture_c_relation_death,s7_transformed_diff_rolling,34,120,30,22,true
fixture_c_relation_death,s7_transformed_diff_rolling,35,120,30,27,true
fixture_c_relation_death,s7_transformed_diff_rolling,36,120,30,5,true
fixture_c_relation_death,s7_transformed_diff_rolling,37,120,30,16,true
fixture_c_relation_death,s7_transformed_diff_rolling,38,120,30,19,true
fixture_c_relation_death,s7_transformed_diff_rolling,39,120,30,5,true
fixture_c_relation_death,s7_transformed_diff_rolling,40,120,30,9,true
fixture_c_relation_death,s7_transformed_diff_rolling,41,120,30,29,true
fixture_c_relation_death,s7_transformed_diff_rolling,42,120,30,5,true
fixture_c_relation_death,s7_transformed_diff_rolling,43,120,30,30,true
fixture_c_relation_death,s7_transformed_diff_rolling,44,120,30,14,true
fixture_c_relation_death,s7_transformed_diff_rolling,45,120,30,13,true
fixture_c_relation_death,s7_transformed_diff_rolling,46,120,30,6,true
fixture_c_relation_death,s7_transformed_diff_rolling,47,120,30,3,true
fixture_c_relation_death,s7_transformed_diff_rolling,48,120,30,4,true
fixture_c_relation_death,s7_transformed_diff_rolling,49,120,30,16,true
fixture_c_relation_death,s7_transformed_diff_rolling,50,120,30,17,true
fixture_c_relation_death,s7_transformed_diff_rolling,51,120,30,9,true
fixture_c_relation_death,s7_transformed_diff_rolling,52,120,30,28,true
fixture_c_relation_death,s7_transformed_diff_rolling,53,120,30,22,true
fixture_c_relation_death,s7_transformed_diff_rolling,54,120,30,25,true
fixture_c_relation_death,s7_transformed_diff_rolling,55,120,30,14,true
fixture_c_relation_death,s7_transformed_diff_rolling,56,120,30,24,true
fixture_c_relation_death,s7_transformed_diff_rolling,57,120,30,24,true
fixture_c_relation_death,s7_transformed_diff_rolling,58,120,30,16,true
fixture_c_relation_death,s7_transformed_diff_rolling,59,120,30,11,true
fixture_c_relation_death,s7_transformed_diff_rolling,60,120,30,15,true
fixture_c_relation_death,s7_transformed_diff_rolling,61,120,30,8,true
fixture_c_relation_death,s7_transformed_diff_rolling,62,120,30,29,true
fixture_c_relation_death,s7_transformed_diff_rolling,63,120,30,21,true
fixture_c_relation_death,s7_transformed_diff_rolling,64,120,30,7,true
fixture_c_relation_death,s7_transformed_diff_rolling,65,120,30,8,true
fixture_c_relation_death,s7_transformed_diff_rolling,66,120,30,9,true
fixture_c_relation_death,s7_transformed_diff_rolling,67,120,30,20,true
fixture_c_relation_death,s7_transformed_diff_rolling,68,120,30,22,true
fixture_c_relation_death,s7_transformed_diff_rolling,69,120,30,7,true
fixture_c_relation_death,s7_transformed_diff_rolling,70,120,30,9,true
fixture_c_relation_death,s7_transformed_diff_rolling,71,120,30,5,true
fixture_c_relation_death,s7_transformed_diff_rolling,72,120,30,24,true
fixture_c_relation_death,s7_transformed_diff_rolling,73,120,30,8,true
fixture_c_relation_death,s7_transformed_diff_rolling,74,120,30,18,true
fixture_c_relation_death,s7_transformed_diff_rolling,75,120,30,9,true
fixture_c_relation_death,s7_transformed_diff_rolling,76,120,30,27,true
fixture_c_relation_death,s7_transformed_diff_rolling,77,120,30,14,true
fixture_c_relation_death,s7_transformed_diff_rolling,78,120,30,18,true
fixture_c_relation_death,s7_transformed_diff_rolling,79,120,30,6,true
fixture_c_relation_death,s7_transformed_diff_rolling,80,120,30,19,true
fixture_c_relation_death,s7_transformed_diff_rolling,81,120,30,22,true
fixture_c_relation_death,s7_transformed_diff_rolling,82,120,30,14,true
fixture_c_relation_death,s7_transformed_diff_rolling,83,120,30,18,true
