date,actual,persistence,delta_prediction
2016-01,97.7000000000,97.2000000000,
2016-02,97.9000000000,97.7000000000,
2016-03,97.7000000000,97.9000000000,
2016-04,98.3000000000,97.7000000000,
2016-05,98.2000000000,98.3000000000,
2016-06,98.8000000000,98.2000000000,
2016-07,99.2000000000,98.8000000000,
2016-08,98.9000000000,99.2000000000,
2016-09,99.3000000000,98.9000000000,
2016-10,99.1000000000,99.3000000000,
2016-11,98.5000000000,99.1000000000,
2016-12,98.0000000000,98.5000000000,
2017-01,98.8000000000,98.0000000000,
2017-02,98.2000000000,98.8000000000,
2017-03,98.8000000000,98.2000000000,
2017-04,100.0000000000,98.8000000000,
2017-05,99.7000000000,100.0000000000,
2017-06,100.3000000000,99.7000000000,
2017-07,100.2000000000,100.3000000000,
2017-08,100.0000000000,100.2000000000,
2017-09,100.3000000000,100.0000000000,
2017-10,97.6000000000,100.3000000000,
2017-11,100.6000000000,97.6000000000,
2017-12,100.5000000000,100.6000000000,
2018-01,99.8000000000,100.5000000000,
2018-02,100.2000000000,99.8000000000,
2018-03,100.5000000000,100.2000000000,
2018-04,100.7000000000,100.5000000000,
2018-05,99.8000000000,100.7000000000,
2018-06,100.2000000000,99.8000000000,
2018-07,100.0000000000,100.2000000000,
2018-08,99.8000000000,100.0000000000,
2018-09,99.6000000000,99.8000000000,
2018-10,100.3000000000,99.6000000000,
2018-11,101.1000000000,100.3000000000,
2018-12,101.0000000000,101.1000000000,
2019-01,102.2000000000,101.0000000000,
2019-02,101.9000000000,102.2000000000,
2019-03,101.4000000000,101.9000000000,
2019-04,102.0000000000,101.4000000000,
2019-05,102.2000000000,102.0000000000,
2019-06,102.7000000000,102.2000000000,
2019-07,103.0000000000,102.7000000000,
2019-08,102.7000000000,103.0000000000,
2019-09,103.4000000000,102.7000000000,
2019-10,103.0000000000,103.4000000000,
2019-11,103.3000000000,103.0000000000,
2019-12,103.2000000000,103.3000000000,
2020-01,103.1000000000,103.2000000000,
2020-02,104.2000000000,103.1000000000,
2020-03,88.1000000000,104.2000000000,
2020-04,72.2000000000,88.1000000000,
2020-05,83.7000000000,72.2000000000,
2020-06,98.0000000000,83.7000000000,
2020-07,99.4000000000,98.0000000000,
2020-08,99.8000000000,99.4000000000,
2020-09,99.4000000000,99.8000000000,
2020-10,100.1000000000,99.4000000000,
2020-11,99.7000000000,100.1000000000,
2020-12,101.3000000000,99.7000000000,
2021-01,94.5000000000,101.3000000000,
2021-02,97.6000000000,94.5000000000,
2021-03,100.6000000000,97.6000000000,
2021-04,97.8000000000,100.6000000000,
2021-05,99.2000000000,97.8000000000,
2021-06,100.1000000000,99.2000000000,
2021-07,100.3000000000,100.1000000000,
2021-08,100.9000000000,100.3000000000,
2021-09,101.3000000000,100.9000000000,
2021-10,101.6000000000,101.3000000000,
2021-11,105.2000000000,101.6000000000,
2021-12,101.2000000000,105.2000000000,
2022-01,101.1000000000,101.2000000000,
2022-02,102.8000000000,101.1000000000,
2022-03,100.0000000000,102.8000000000,
2022-04,102.2000000000,100.0000000000,
2022-05,103.5000000000,102.2000000000,
2022-06,102.2000000000,103.5000000000,
2022-07,101.7000000000,102.2000000000,
2022-08,103.0000000000,101.7000000000,
2022-09,102.8000000000,103.0000000000,
2022-10,102.4000000000,102.8000000000,
2022-11,102.5000000000,102.4000000000,
2022-12,102.3000000000,102.5000000000,
2023-01,104.5000000000,102.3000000000,
2023-02,103.4000000000,104.5000000000,
2023-03,104.1000000000,103.4000000000,
2023-04,105.5000000000,104.1000000000,
2023-05,105.1000000000,105.5000000000,
2023-06,105.1000000000,105.1000000000,
2023-07,105.2000000000,105.1000000000,
2023-08,104.4000000000,105.2000000000,
2023-09,103.8000000000,104.4000000000,
2023-10,104.4000000000,103.8000000000,
2023-11,106.2000000000,104.4000000000,
2023-12,104.9000000000,106.2000000000,
2024-01,105.4000000000,104.9000000000,105.3097391637
2024-02,105.5000000000,105.4000000000,105.9298978199
2024-03,105.0000000000,105.5000000000,105.7720973066
2024-04,106.1000000000,105.0000000000,105.2658329101
2024-05,105.5000000000,106.1000000000,106.6053964353
2024-06,105.4000000000,105.5000000000,105.9821068428
2024-07,106.5000000000,105.4000000000,105.9421987056
2024-08,107.0000000000,106.5000000000,107.0453293636
2024-09,107.9000000000,107.0000000000,107.5788775573
2024-10,108.1000000000,107.9000000000,108.4598973356
2024-11,106.9000000000,108.1000000000,108.4727818319
2024-12,109.3000000000,106.9000000000,107.2720182360
2025-01,108.1000000000,109.3000000000,109.8734133542
2025-02,109.6000000000,108.1000000000,108.4072393332
2025-03,109.0000000000,109.6000000000,110.0080398017
2025-04,110.9000000000,109.0000000000,109.2650037432
2025-05,110.8000000000,110.9000000000,111.2152481159
2025-06,112.0000000000,110.8000000000,111.0878546565
2025-07,111.5000000000,112.0000000000,112.2551589497
2025-08,111.9000000000,111.5000000000,111.6563938852
2025-09,112.3000000000,111.9000000000,112.0855653469
2025-10,112.2000000000,112.3000000000,112.4790861564
2025-11,113.3000000000,112.2000000000,112.3041363574
2025-12,112.2000000000,113.3000000000,113.3712051297
