date,source,lag,signed_weight,absolute_score,sample_count,history_end_exclusive
2016-01,industrial_production,1,0.8496744872,0.8496744872,95,2016-01
2016-01,unemployment_rate,2,-0.9320464646,0.9320464646,94,2016-01
2016-01,consumer_confidence,2,0.5894950290,0.5894950290,94,2016-01
2016-01,hicp,1,-0.9517986053,0.9517986053,95,2016-01
2016-02,industrial_production,1,0.8498110466,0.8498110466,96,2016-02
2016-02,unemployment_rate,2,-0.9311838720,0.9311838720,95,2016-02
2016-02,consumer_confidence,2,0.5809081032,0.5809081032,95,2016-02
2016-02,hicp,1,-0.9510391841,0.9510391841,96,2016-02
2016-03,industrial_production,1,0.8499374825,0.8499374825,97,2016-03
2016-03,unemployment_rate,2,-0.9303282608,0.9303282608,96,2016-03
2016-03,consumer_confidence,2,0.5695299525,0.5695299525,96,2016-03
2016-03,hicp,1,-0.9508103378,0.9508103378,97,2016-03
2016-04,industrial_production,1,0.8495165327,0.8495165327,98,2016-04
2016-04,unemployment_rate,2,-0.9290954207,0.9290954207,97,2016-04
2016-04,consumer_confidence,2,0.5659437471,0.5659437471,97,2016-04
2016-04,hicp,1,-0.9501713563,0.9501713563,98,2016-04
2016-05,industrial_production,1,0.8495647276,0.8495647276,99,2016-05
2016-05,unemployment_rate,2,-0.9280643158,0.9280643158,98,2016-05
2016-05,consumer_confidence,2,0.5592636405,0.5592636405,98,2016-05
2016-05,hicp,1,-0.9499928001,0.9499928001,99,2016-05
2016-06,industrial_production,1,0.8489921293,0.8489921293,100,2016-06
2016-06,unemployment_rate,2,-0.9269058651,0.9269058651,99,2016-06
2016-06,consumer_confidence,2,0.5595008949,0.5595008949,99,2016-06
2016-06,hicp,1,-0.9494877205,0.9494877205,100,2016-06
2016-07,industrial_production,1,0.8491052083,0.8491052083,101,2016-07
2016-07,unemployment_rate,2,-0.9260373012,0.9260373012,100,2016-07
2016-07,consumer_confidence,2,0.5592652365,0.5592652365,100,2016-07
2016-07,hicp,1,-0.9480833268,0.9480833268,101,2016-07
2016-08,industrial_production,1,0.8491748968,0.8491748968,102,2016-08
2016-08,unemployment_rate,2,-0.9252578649,0.9252578649,101,2016-08
2016-08,consumer_confidence,2,0.5595978111,0.5595978111,101,2016-08
2016-08,hicp,1,-0.9457845790,0.9457845790,102,2016-08
2016-09,industrial_production,1,0.8493005072,0.8493005072,103,2016-09
2016-09,unemployment_rate,2,-0.9240746202,0.9240746202,102,2016-09
2016-09,consumer_confidence,2,0.5600108886,0.5600108886,102,2016-09
2016-09,hicp,1,-0.9454383380,0.9454383380,103,2016-09
2016-10,industrial_production,1,0.8493723050,0.8493723050,104,2016-10
2016-10,unemployment_rate,2,-0.9226783797,0.9226783797,103,2016-10
2016-10,consumer_confidence,2,0.5593973541,0.5593973541,103,2016-10
2016-10,hicp,1,-0.9450010541,0.9450010541,104,2016-10
2016-11,industrial_production,1,0.8494023496,0.8494023496,105,2016-11
2016-11,unemployment_rate,2,-0.9209593274,0.9209593274,104,2016-11
2016-11,consumer_confidence,2,0.5597354252,0.5597354252,104,2016-11
2016-11,hicp,1,-0.9439229933,0.9439229933,105,2016-11
2016-12,industrial_production,1,0.8495232071,0.8495232071,106,2016-12
2016-12,unemployment_rate,2,-0.9186218322,0.9186218322,105,2016-12
2016-12,consumer_confidence,2,0.5595144433,0.5595144433,105,2016-12
2016-12,hicp,1,-0.9420988892,0.9420988892,106,2016-12
2017-01,industrial_production,1,0.8494223721,0.8494223721,107,2017-01
2017-01,unemployment_rate,2,-0.9156594909,0.9156594909,106,2017-01
2017-01,consumer_confidence,2,0.5600654095,0.5600654095,106,2017-01
2017-01,hicp,1,-0.9402856476,0.9402856476,107,2017-01
2017-02,industrial_production,1,0.8494171074,0.8494171074,108,2017-02
