seed,rank,source,selected_lag,weight,score,sample_count
11,1,driver_a,1,0.6002072220,0.6002072220,419
11,2,driver_b,2,-0.2844013253,0.2844013253,418
23,1,driver_a,1,0.6013094277,0.6013094277,419
23,2,driver_b,2,-0.4839118866,0.4839118866,418
37,1,driver_a,1,0.6366371614,0.6366371614,419
37,2,driver_b,2,-0.3267142742,0.3267142742,418
41,1,driver_a,2,0.5865653229,0.5865653229,418
41,2,driver_b,2,-0.4114701203,0.4114701203,418
53,1,driver_a,2,0.6271296893,0.6271296893,418
53,2,driver_b,2,-0.4468162027,0.4468162027,418
