seed,rank,source,selected_lag,direction,trust,admission,blocked,sample_count
11,1,driver_a,1,1,0.6002072220,1.0000000000,false,419
11,2,driver_b,2,-1,0.2844013253,0.3840037865,false,418
11,3,noise,4,-1,0.0832911179,0.0000000000,true,416
23,1,driver_a,1,1,0.6013094277,1.0000000000,false,419
23,2,driver_b,2,-1,0.4839118866,0.9540339618,false,418
23,3,noise,2,1,0.0583517876,0.0000000000,true,418
37,1,driver_a,1,1,0.6366371614,1.0000000000,false,419
37,2,driver_b,2,-1,0.3267142742,0.5048979262,false,418
37,3,noise,4,1,0.1475120340,0.0000000000,true,416
41,1,driver_a,2,1,0.5865653229,1.0000000000,false,418
41,2,driver_b,2,-1,0.4114701203,0.7470574865,false,418
41,3,noise,4,1,0.0702315807,0.0000000000,true,416
53,1,driver_a,2,1,0.6271296893,1.0000000000,false,418
53,2,driver_b,2,-1,0.4468162027,0.8480462935,false,418
53,3,noise,5,-1,0.0631512538,0.0000000000,true,415
