baseline,seed,split,mae,rmse,sample_count
sprint3_ols,11,test,0.4019786645,0.5063304085,90
trust_gated_ols,11,test,0.4358967187,0.5307430523,90
sprint3_ols,23,test,0.3753422884,0.4706556024,90
trust_gated_ols,23,test,0.4158171080,0.5180683953,90
sprint3_ols,37,test,0.4571498131,0.5494725924,90
trust_gated_ols,37,test,0.4920244017,0.5954422425,90
sprint3_ols,41,test,0.4498268773,0.5897748999,90
trust_gated_ols,41,test,0.4915884079,0.6344029425,90
sprint3_ols,53,test,0.4270889654,0.5469442457,90
trust_gated_ols,53,test,0.4386048418,0.5639304046,90
